industry,symbol_id
貿易百貨,2937
電子零組件業,4989
農業科技,1240
食品工業,1796
航運業,2630
航運業,8367
電機機械,4561
生技醫療業,4148
電機機械,4552
電機機械,4560
貿易百貨,4807
電腦及週邊設備業,5223
光電業,5281
建材營造,5543
其他,8480
生技醫療業,6497
其他,8488
其他,8482
貿易百貨,2936
其他,8442
其他,8466
通信網路業,6561
生技醫療業,6574
生技醫療業,6576
半導體業,6573
其他,8497
半導體業,6525
電腦及週邊設備業,3060
通信網路業,3062
存託憑證,910322
存託憑證,9103
存託憑證,910362
存託憑證,9105
存託憑證,910505
存託憑證,910712
光電業,3059
存託憑證,910861
存託憑證,911225
存託憑證,911368
存託憑證,911603
電子零組件業,3058
存託憑證,911607
存託憑證,911608
存託憑證,911615
存託憑證,911617
存託憑證,911618
存託憑證,911620
存託憑證,911621
存託憑證,911622
存託憑證,911625
存託憑證,911627
存託憑證,911777
存託憑證,911991
存託憑證,912000
存託憑證,912398
存託憑證,912618
存託憑證,9136
電子零組件業,3090
半導體業,3094
資訊服務業,3130
存託憑證,9188
光電業,3149
存託憑證,910482
生技醫療業,3164
電機機械,3167
其他,9902
半導體業,3189
其他,9904
其他,9905
建材營造,9906
其他,9907
油電燃氣業,9908
存託憑證,911089
其他,9910
其他,9911
其他,9914
其他,9917
油電燃氣業,9918
其他,9919
其他,9921
其他,9924
其他,9925
油電燃氣業,9926
電子通路業,3209
其他,9927
其他,9928
其他,9929
電子零組件業,3432
存託憑證,911659
電子零組件業,3229
電腦及週邊設備業,3231
油電燃氣業,9931
建材營造,3266
其他,9802
電子零組件業,3296
建材營造,3056
其他電子業,3305
通信網路業,3311
電子零組件業,3308
電子通路業,3312
電子零組件業,3338
光電業,3356
電腦及週邊設備業,9912
電子零組件業,3376
光電業,3383
通信網路業,3380
電腦及週邊設備業,3416
通信網路業,3419
光電業,3437
半導體業,3443
其他電子業,3450
光電業,3454
半導體業,3257
光電業,3406
光電業,3481
電腦及週邊設備業,3494
光電業,3504
電腦及週邊設備業,3515
其他電子業,3518
電子零組件業,3533
半導體業,3536
光電業,3535
半導體業,3532
半導體業,3545
電子零組件業,3550
光電業,3557
其他,9935
其他,9933
其他,9934
油電燃氣業,9937
其他,9938
其他,9939
其他,9940
其他,9941
其他,9942
觀光事業,9943
其他,9944
其他,9955
光電業,3576
電子工業,3579
半導體業,3583
半導體業,3588
光電業,3591
通信網路業,3596
